COMMODITY,UNIT_CODE,COUNTRY,QTY,VALUE
TEA,KGS,AFGHANISTAN,996994,2.88
TEA,KGS,ALBANIA,250065,0.82
TEA,KGS,ALGERIA,109640,0.21
TEA,KGS,ANDORRA,32692,0.15
TEA,KGS,ANGOLA,11361,0.07
TEA,KGS,ARGENTINA,11,0
TEA,KGS,ARMENIA,2311,0
TEA,KGS,AUSTRALIA,3107210,17.25
TEA,KGS,AUSTRIA,1164,0.01
TEA,KGS,AZERBAIJAN,367209,1.24
TEA,KGS,BAHARAIN IS,430000,1.83
TEA,KGS,BANGLADESH PR,327957,0.75
TEA,KGS,BARBADOS,125,0
TEA,KGS,BELARUS,26175,0.11
TEA,KGS,BELGIUM,1066109,3.47
TEA,KGS,BENIN,36476,0.22
TEA,KGS,BHUTAN,171879,0.7
TEA,KGS,BOTSWANA,1024,0.01
TEA,KGS,BRAZIL,2301,0.03
TEA,KGS,BRUNEI,1081,0
TEA,KGS,BULGARIA,1178,0.02
TEA,KGS,BURKINA FASO,671370,3.75
TEA,KGS,CAMBODIA,611,0
TEA,KGS,CAMEROON,16458,0.14
TEA,KGS,CANADA,2643098,12.54
TEA,KGS,CAYMAN IS,151,0
TEA,KGS,CHAD,60,0
TEA,KGS,CHILE,24520,0.06
TEA,KGS,CHINA P RP,9231688,23.93
TEA,KGS,COLOMBIA,86927,0.14
TEA,KGS,CONGO D. REP.,80817,0.13
TEA,KGS,CONGO P REP,49908,0.19
TEA,KGS,COSTA RICA,4150,0.03
TEA,KGS,COTE D' IVOIRE,236212,1.14
TEA,KGS,CROATIA,9165,0.02
TEA,KGS,CYPRUS,2412,0.01
TEA,KGS,CZECH REPUBLIC,10141,0.19
TEA,KGS,DENMARK,47110,0.51
TEA,KGS,DOMINIC REP,210,0
TEA,KGS,ECUADOR,1000,0
TEA,KGS,EGYPT A RP,13283924,26.61
TEA,KGS,ESTONIA,80645,0.24
TEA,KGS,ETHIOPIA,2,0
