name,country,matches,innings,no,runs,highest,average,balls,strikerate,hunderd,fifty,duck,year
SR Tendulkar,INDIA,34,33,4,1894,143,65.31,1854,102.15,9,7,0,1998
SC Ganguly,INDIA,41,41,3,1767,183,46.5,2325,76,4,10,1,1999
R Dravid,INDIA,43,43,5,1761,153,46.34,2343,75.16,6,8,3,1999
SR Tendulkar,INDIA,32,32,2,1611,137,53.7,1954,82.44,6,9,0,1996
ML Hayden,AUS,32,30,3,1601,181*,59.29,1795,89.19,5,6,1,2007
Saeed Anwar,PAK,36,36,5,1595,115,51.45,1742,91.56,3,10,0,1996
SC Ganguly,INDIA,32,32,4,1579,144,56.39,1908,82.75,7,6,0,2000
MJ Guptill,NZ,32,32,5,1489,237*,55.14,1542,96.56,4,8,3,2015
ME Waugh,AUS,36,36,3,1468,106,44.48,1942,75.59,2,11,1,1999
G Kirsten,SA,36,36,3,1467,115,44.45,2004,73.2,2,13,1,2000
V Kohli,INDIA,26,26,7,1460,131,76.84,1473,99.11,6,7,2,2017
G Kirsten,SA,29,29,4,1442,188*,57.68,1724,83.64,6,4,1,1996
SR Tendulkar,INDIA,33,32,2,1425,100*,47.5,1665,85.58,1,13,3,2007
RT Ponting,AUS,27,24,6,1424,134*,79.11,1553,91.69,5,8,0,2007
DA Warner,AUS,23,23,1,1388,173,63.09,1316,105.47,7,4,0,2016
V Kohli,INDIA,34,34,5,1381,117,47.62,1614,85.56,4,8,2,2011
KS Williamson,NZ,27,26,2,1376,118,57.33,1531,89.87,3,9,0,2015
Misbah-ul-Haq,PAK,34,32,7,1373,96*,54.92,1867,73.54,0,15,1,2013
Mohammad Yousuf,PAK,32,30,5,1362,141*,54.48,1604,84.91,5,6,2,2002
BC Lara,WI,30,30,3,1349,153,49.96,1865,72.33,4,7,1,1993
SC Ganguly,INDIA,38,35,3,1338,113,41.81,1919,69.72,1,10,3,1997
KC Sangakkara,SL,36,33,3,1333,109,44.43,1682,79.25,1,12,1,2006
SC Ganguly,INDIA,36,35,3,1328,124,41.5,1903,69.78,4,7,1,1998
